City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Logan Lake,CA,50.4998,-120.8025,26.44,100,100,5.17,overcast clouds
113,Lima,PE,-12.0432,-77.0282,76.14,68,75,1.01,broken clouds
114,Upernavik,GL,72.7868,-56.1549,9.5,91,100,21.05,overcast clouds
115,Abu Kamal,SY,34.4506,40.9171,38.79,34,0,8.79,clear sky
116,Bluff,NZ,-46.6,168.3333,54.81,70,81,16.51,broken clouds
117,Hofn,IS,64.2539,-15.2082,42.31,81,100,5.82,overcast clouds
118,Beringovskiy,RU,63.05,179.3167,-20.0,87,4,12.06,clear sky
119,Nome,US,64.5011,-165.4064,3.27,72,100,9.22,overcast clouds
120,Uray,RU,60.1247,64.7758,17.8,94,92,8.95,overcast clouds
121,Cabo San Lucas,MX,22.8909,-109.9124,75.51,75,100,3.0,overcast clouds
122,Mujiayingzi,CN,42.1167,118.7833,11.43,63,0,2.46,clear sky
123,Jacksonville,US,30.3322,-81.6556,75.43,54,75,1.01,broken clouds
124,Shellbrook,CA,53.2168,-106.4011,5.47,88,100,12.59,overcast clouds
125,Merano,IT,46.6682,11.1595,47.55,73,11,8.43,few clouds
126,Brcko,BA,44.8728,18.8083,39.15,98,100,3.85,light rain
127,Kirkwall,GB,58.9848,-2.9587,41.05,87,40,13.8,scattered clouds
128,Wadi Maliz,TN,36.4681,8.5495,49.66,90,1,2.48,clear sky
129,Elizabeth City,US,36.2946,-76.2511,59.02,56,20,3.0,few clouds
130,Nouakchott,MR,18.0858,-15.9785,82.33,48,58,9.84,broken clouds
131,Adrar,MR,20.5022,-10.0711,71.58,16,0,9.89,clear sky
132,Trairi,BR,-3.2778,-39.2689,82.81,70,88,11.03,overcast clouds
133,Saldanha,ZA,-33.0117,17.9442,69.85,84,0,20.71,clear sky
134,Manbij,SY,36.5281,37.9549,29.17,54,0,6.51,clear sky
135,Vardo,NO,70.3705,31.1107,28.6,86,40,9.22,scattered clouds
136,Lata,PT,40.1629,-8.3327,53.06,76,0,3.44,clear sky
137,Lorengau,PG,-2.0226,147.2712,81.21,77,100,9.84,overcast clouds
138,Castro,BR,-24.7911,-50.0119,80.17,62,75,3.33,broken clouds
139,Talakan,RU,50.3167,130.3667,-20.76,100,100,0.04,overcast clouds
140,Omsukchan,RU,62.5333,155.8,-16.56,57,0,2.84,clear sky
141,Souillac,MU,-20.5167,57.5167,80.98,94,40,6.91,scattered clouds
142,Neuquen,AR,-38.9516,-68.0591,78.69,53,0,3.44,clear sky
143,Hermanus,ZA,-34.4187,19.2345,67.89,82,0,5.1,clear sky
144,Tyup,KG,42.7276,78.3648,18.19,85,64,4.59,broken clouds
145,Qaanaaq,GL,77.484,-69.3632,7.66,64,100,6.06,overcast clouds
146,Llata,PE,-9.4167,-76.7833,60.75,71,93,7.16,overcast clouds
147,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,59,75,11.18,broken clouds
148,Nurota,UZ,40.5614,65.6886,37.49,58,0,1.74,clear sky
149,Severnoye,RU,56.3491,78.3619,-4.02,100,99,4.16,overcast clouds
150,Adelaide,AU,-34.9333,138.6,80.19,39,9,3.0,clear sky
151,Port Alfred,ZA,-33.5906,26.891,75.25,87,6,3.74,clear sky
152,Moree,AU,-29.4667,149.85,60.82,77,0,4.61,clear sky
153,Poum,NC,-20.2333,164.0167,80.96,76,49,5.77,scattered clouds
154,Belyy Yar,RU,53.6039,91.3903,-5.91,96,75,2.24,broken clouds
155,Xichang,CN,27.8964,102.2634,40.71,78,36,1.77,scattered clouds
156,Dikson,RU,73.5069,80.5464,3.52,93,100,17.63,overcast clouds
157,Ulaangom,MN,49.9811,92.0667,-3.8,99,100,0.89,overcast clouds
158,Jamestown,US,42.097,-79.2353,18.72,49,75,5.99,broken clouds
159,Narsaq,GL,60.9167,-46.05,32.22,89,100,18.37,light snow
160,Hobyo,SO,5.3505,48.5268,77.88,73,76,17.09,broken clouds
161,Hilo,US,19.7297,-155.09,71.8,92,100,0.0,light rain
162,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,100,20,19.48,few clouds
163,Barcelona,ES,41.3888,2.159,52.48,71,0,3.0,clear sky
164,Cherskiy,RU,68.75,161.3,-38.2,99,31,1.63,scattered clouds
165,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,93,100,17.27,drizzle
166,Guerrero Negro,MX,27.9769,-114.0611,69.49,41,0,9.46,clear sky
167,Asfi,MA,32.2994,-9.2372,61.29,63,100,7.25,overcast clouds
168,Deputatskiy,RU,69.3,139.9,-21.77,75,96,4.05,overcast clouds
169,Popondetta,PG,-8.7537,148.2534,73.65,97,100,2.91,overcast clouds
170,Kavieng,PG,-2.5744,150.7967,80.71,77,100,11.52,light rain
171,Te Anau,NZ,-45.4167,167.7167,51.8,88,100,0.81,overcast clouds
172,Yumen,CN,40.2833,97.2,23.92,40,1,8.08,clear sky
173,Northam,GB,51.0333,-4.2167,41.02,81,26,4.29,scattered clouds
174,Lodwar,KE,3.1191,35.5973,82.81,40,100,10.18,overcast clouds
175,Peringat,MY,6.0333,102.2833,75.15,94,20,2.3,few clouds
176,Kudahuvadhoo,MV,2.6708,72.8944,81.23,71,65,6.93,broken clouds
177,Hambantota,LK,6.1241,81.1185,71.94,100,20,1.14,few clouds
178,Bengkulu,ID,-3.8004,102.2655,74.95,89,100,4.72,moderate rain
179,Aquin,HT,18.2833,-73.4,81.66,62,4,7.05,clear sky
180,Katsuura,JP,35.1333,140.3,41.02,49,0,20.94,clear sky
181,Provideniya,RU,64.3833,-173.3,-11.94,81,19,6.26,few clouds
182,Yar-Sale,RU,66.8333,70.8333,14.25,88,91,20.96,overcast clouds
183,Pringsewu,ID,-5.3582,104.9744,72.01,95,81,1.95,broken clouds
184,Itupiranga,BR,-5.1347,-49.3267,88.12,62,97,2.46,overcast clouds
185,Morehead,US,37.2711,-87.1764,23.95,72,100,8.01,overcast clouds
186,Faanui,PF,-16.4833,-151.75,81.32,77,100,22.48,overcast clouds
187,Candolim,IN,15.5181,73.7626,77.0,69,6,6.91,clear sky
188,Soe,ID,-9.8607,124.284,65.93,97,100,3.15,overcast clouds
189,Curitibanos,BR,-27.2828,-50.5844,80.96,48,88,2.35,overcast clouds
190,Vila Velha,BR,-20.3297,-40.2925,85.95,71,0,5.01,clear sky
191,Pombia,IT,45.653,8.6336,45.61,77,23,3.44,mist
192,Caucaia,BR,-3.7361,-38.6531,85.95,73,40,11.5,scattered clouds
193,Nampula,MZ,-15.1165,39.2666,75.15,88,20,5.75,few clouds
194,Touros,BR,-5.1989,-35.4608,88.7,61,12,15.05,few clouds
195,Urucara,BR,-2.5364,-57.76,89.6,54,94,3.33,overcast clouds
196,Puerto Penasco,MX,31.3167,-113.5333,67.91,36,0,4.0,clear sky
197,Manokwari,ID,-0.8667,134.0833,77.85,85,100,3.11,overcast clouds
198,Taseyevo,RU,57.2169,94.8978,2.28,98,91,2.24,overcast clouds
199,Uyaan,PH,7.8631,124.0411,61.59,94,100,2.89,overcast clouds
200,Babu,CN,24.4167,111.5167,56.91,83,100,1.43,overcast clouds
201,Port Blair,IN,11.6667,92.75,75.24,94,40,0.0,mist
202,Nelson Bay,AU,-32.7167,152.15,71.01,75,100,1.01,overcast clouds
203,Mar Del Plata,AR,-38.0023,-57.5575,75.09,92,100,4.0,overcast clouds
204,Blairmore,CA,49.6,-114.4353,36.99,60,100,10.36,overcast clouds
205,Seoul,KR,37.5683,126.9778,20.64,86,0,4.61,clear sky
206,Ixtapa,MX,20.7,-105.2,78.03,44,75,4.61,broken clouds
207,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,74,0,17.27,clear sky
208,Kendari,ID,-3.945,122.4989,75.81,88,100,5.77,overcast clouds
209,Moerai,PF,-22.4333,-151.3333,79.27,70,100,18.9,overcast clouds
210,Tasiilaq,GL,65.6145,-37.6368,30.36,97,100,23.58,snow
211,Hami,CN,42.8,93.45,27.57,42,100,2.64,overcast clouds
212,Mahebourg,MU,-20.4081,57.7,80.89,94,40,6.91,scattered clouds
213,Dasoguz,TM,41.8363,59.9666,30.15,93,100,13.8,overcast clouds
214,Pryazha,RU,61.6926,33.6216,31.24,98,100,5.82,light snow
215,Narrabri,AU,-30.3167,149.7833,62.69,67,0,11.5,clear sky
216,Samarai,PG,-10.6167,150.6667,80.2,80,89,10.4,overcast clouds
217,Thompson,CA,55.7435,-97.8558,-12.84,77,40,5.75,scattered clouds
218,Kawalu,ID,-7.3817,108.2082,71.06,94,100,0.4,overcast clouds
219,Nuevo Progreso,MX,23.1667,-97.95,76.59,73,100,8.99,overcast clouds
220,Olinda,BR,-8.0089,-34.8553,83.93,70,40,11.5,scattered clouds
221,Namibe,AO,-15.1961,12.1522,71.62,80,100,7.11,overcast clouds
222,Namatanai,PG,-3.6667,152.4333,79.18,83,100,7.49,moderate rain
223,Culpeper,US,38.5004,-77.9664,36.1,67,0,5.01,clear sky
224,Cabedelo,BR,-6.9811,-34.8339,88.47,67,7,12.82,clear sky
225,Airai,TL,-8.9266,125.4092,61.05,99,100,3.42,overcast clouds
226,Estacion Coahuila,MX,32.1939,-115.0017,70.97,18,0,24.11,clear sky
227,Georgetown,MY,5.4112,100.3354,81.9,90,20,1.99,few clouds
228,Moindou,NC,-21.6924,165.677,75.15,87,62,9.28,broken clouds
229,Sujiatun,CN,41.6592,123.3392,-0.22,65,0,6.71,clear sky
230,Podporozhye,RU,60.9112,34.1706,31.59,96,100,8.68,snow
231,Inhambane,MZ,-23.865,35.3833,76.98,88,20,4.61,few clouds
